City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hithadhoo,-0.6,73.08,82.35,77,88,12.95,MV,1599524962
Constitución,-35.33,-72.42,50.09,83,87,5.91,CL,1599524962
Martaban,16.53,97.61,78.13,93,100,4.85,MM,1599524962
Yellowknife,62.46,-114.35,50.0,81,75,16.11,CA,1599524775
Baruun-Urt,46.68,113.28,57.07,70,1,9.48,MN,1599524963
Qaanaaq,77.48,-69.36,21.78,80,50,8.28,GL,1599524963
Avarua,-21.21,-159.78,77.0,47,33,13.87,CK,1599524779
Tubualá,9.52,-79.03,78.01,94,75,6.93,PA,1599524964
Kaitangata,-46.28,169.85,57.0,58,36,5.01,NZ,1599524964
Vaini,-21.2,-175.2,75.2,73,75,11.41,TO,1599524965
Khasan,42.43,130.64,67.39,87,99,20.36,RU,1599524965
Kapaa,22.08,-159.32,86.0,66,40,12.75,US,1599524966
Fukuechō,32.69,128.84,78.8,83,40,10.29,JP,1599524966
Al Bardīyah,31.76,25.09,73.45,71,0,5.64,LY,1599524966
Bluff,-46.6,168.33,52.38,67,9,9.64,NZ,1599524967
Sur,22.57,59.53,85.03,59,41,10.42,OM,1599524967
Vila Franca do Campo,37.72,-25.43,69.8,83,40,5.82,PT,1599524968
Cape Town,-33.93,18.42,53.6,93,0,3.36,ZA,1599524774
Talcahuano,-36.72,-73.12,50.0,81,75,6.93,CL,1599524968
Hermanus,-34.42,19.23,57.99,86,0,7.0,ZA,1599524969
Butaritari,3.07,172.79,82.4,74,31,5.88,KI,1599524969
Ancud,-41.87,-73.82,51.01,86,100,4.0,CL,1599524970
Punta Arenas,-53.15,-70.92,41.0,86,98,3.36,CL,1599524774
Uvira,-3.41,29.15,74.43,54,44,4.09,CD,1599524970
Robertsport,6.75,-11.37,76.77,88,100,11.41,LR,1599524971
Thompson,55.74,-97.86,44.6,65,75,9.17,CA,1599524825
Jasper,37.2,-94.35,87.01,55,1,13.87,US,1599524971
Weston,26.1,-80.4,82.0,83,1,5.82,US,1599524957
Albany,42.6,-73.97,73.0,57,27,5.23,US,1599524972
Pitimbu,-7.47,-34.81,71.6,88,0,4.7,BR,1599524972
Nicoya,10.15,-85.45,80.6,88,75,3.36,CR,1599524973
Pontian Kecil,1.48,103.39,78.01,100,20,5.35,MY,1599524973
Ribeira Grande,38.52,-28.7,70.45,78,11,18.59,PT,1599524974
Kruisfontein,-34.0,24.73,53.91,94,1,4.38,ZA,1599524974
Chapais,49.78,-74.85,51.8,66,20,16.11,CA,1599524974
Ayan,56.45,138.17,56.62,63,0,11.12,RU,1599524975
Carnarvon,-24.87,113.63,62.6,82,99,12.75,AU,1599524727
Chitipa,-9.7,33.27,55.15,92,46,5.84,MW,1599524976
Kafr Sawm,32.68,35.8,68.45,95,4,1.48,JO,1599524976
Tual,-5.67,132.75,80.6,84,80,21.79,ID,1599524976
New Norfolk,-42.78,147.06,66.99,57,100,5.01,AU,1599524977
Atuona,-9.8,-139.03,78.66,75,82,20.67,PF,1599524977
Aquiraz,-3.9,-38.39,78.8,83,40,9.17,BR,1599524978
São Filipe,14.9,-24.5,78.21,86,99,12.73,CV,1599524978
Plettenberg Bay,-34.05,23.37,60.48,71,0,5.64,ZA,1599524979
Tsogni,-2.79,10.1,73.35,86,57,5.97,GA,1599524979
Jamestown,42.1,-79.24,64.99,93,1,5.82,US,1599524979
Katsuura,35.13,140.3,87.01,89,40,17.22,JP,1599524879
Mahon,39.89,4.27,68.0,68,100,9.17,ES,1599524980
Kasongo-Lunda,-6.47,16.82,75.47,68,24,2.42,CD,1599524980
Port Hardy,50.7,-127.42,71.6,64,40,4.7,CA,1599524981
Kahului,20.89,-156.47,91.4,49,40,25.28,US,1599524703
Upernavik,72.79,-56.15,37.04,79,100,5.64,GL,1599524981
Nouadhibou,20.93,-17.03,82.4,69,100,2.24,MR,1599524982
Busselton,-33.65,115.33,55.0,77,55,10.45,AU,1599524774
Chokurdakh,70.63,147.92,40.91,76,93,8.5,RU,1599524982
Hilo,19.73,-155.09,87.8,55,1,12.75,US,1599524983
Hobart,-42.88,147.33,66.99,42,90,23.04,AU,1599524671
Bengkulu,-3.8,102.27,76.17,87,28,7.11,ID,1599524984
Ushuaia,-54.8,-68.3,42.8,70,40,6.93,AR,1599524984
Lata,40.16,-8.33,75.99,40,0,1.01,PT,1599524985
Mar del Plata,-38.0,-57.56,51.01,87,0,11.41,AR,1599524950
Río Tercero,-32.17,-64.11,53.01,69,53,1.01,AR,1599524985
Grand Gaube,-20.01,57.66,72.0,86,73,5.01,MU,1599524985
Lashio,22.93,97.75,69.8,100,100,0.25,MM,1599524986
Kavaratti,10.57,72.64,82.22,81,99,12.97,IN,1599524986
Rikitea,-23.12,-134.97,73.29,83,2,12.48,PF,1599524775
Strezhevoy,60.73,77.59,41.0,93,20,6.51,RU,1599524987
Aripuanã,-9.17,-60.63,82.76,22,58,1.48,BR,1599524987
Okato,-39.2,173.88,55.0,71,0,5.99,NZ,1599524988
Coyhaique,-45.58,-72.07,48.2,66,75,4.45,CL,1599524988
Vestmannaeyjar,63.44,-20.27,49.08,80,99,5.37,IS,1599524988
Burns Lake,54.23,-125.75,64.09,29,0,3.42,CA,1599524989
Nelson Bay,-32.72,152.15,71.01,52,4,9.17,AU,1599524989
Birjand,32.87,59.22,55.4,30,0,6.93,IR,1599524990
Khatanga,71.97,102.5,44.2,74,1,8.46,RU,1599524990
Kaseda-shirakame,31.42,130.32,75.2,88,40,2.24,JP,1599524991
Dinagat,9.96,125.59,84.09,69,15,4.5,PH,1599524991
Santa Leopoldina,-20.1,-40.53,77.0,83,40,10.29,BR,1599524991
Bredasdorp,-34.53,20.04,50.0,93,0,4.7,ZA,1599524480
Samaná,19.21,-69.34,84.2,79,40,11.41,DO,1599524992
Kamenka,51.32,42.77,59.54,34,90,8.66,RU,1599524993
Bambous Virieux,-20.34,57.76,72.0,100,20,4.7,MU,1599524993
Arcata,40.87,-124.08,66.0,77,1,8.05,US,1599524779
Constantine,36.37,6.61,64.4,93,75,3.36,DZ,1599524994
George Town,5.41,100.34,80.6,94,20,3.36,MY,1599524780
Kiama,-34.68,150.87,71.01,67,9,17.0,AU,1599524994
Chui,-33.7,-53.46,50.97,83,60,7.18,UY,1599524995
Mataura,-46.19,168.86,58.35,50,21,5.77,NZ,1599524776
Huarmey,-10.07,-78.15,61.0,81,9,9.57,PE,1599524995
Buraidah,26.33,43.98,84.2,21,0,7.87,SA,1599524707
Saint-Philippe,-21.36,55.77,66.2,93,75,5.82,RE,1599524996
Petropavlovsk-Kamchatskiy,53.05,158.65,66.2,68,20,13.42,RU,1599524715
Torbay,47.67,-52.73,57.99,81,5,11.41,CA,1599524996
Ixtapa,20.7,-105.2,84.2,79,90,8.05,MX,1599524930
Provideniya,64.38,-173.3,50.0,57,100,15.66,RU,1599524997
Ponta do Sol,32.67,-17.1,70.0,76,91,1.99,PT,1599524997
Mongo,12.18,18.69,74.23,88,91,6.69,TD,1599524998
Anadyr,64.75,177.48,50.0,64,20,6.71,RU,1599524998
Felanitx,39.47,3.15,62.6,93,20,2.24,ES,1599524998
Cururupu,-1.83,-44.87,75.79,88,52,4.21,BR,1599524999
Barrow,71.29,-156.79,37.4,86,90,17.22,US,1599524837
Margate,51.38,1.39,62.01,79,100,5.01,GB,1599524999
Diamantino,-14.41,-56.45,83.1,21,0,2.66,BR,1599525000
Waipawa,-41.41,175.52,55.99,66,0,18.34,NZ,1599525001
Paraná,-31.73,-60.52,61.0,60,0,1.99,AR,1599525001
Gbadolite,4.28,21.02,70.88,94,100,1.41,CD,1599525002
Tuktoyaktuk,69.45,-133.04,46.4,93,90,11.41,CA,1599525003
Puerto Ayora,-0.74,-90.35,68.0,90,54,5.99,EC,1599525004
Tiksi,71.69,128.87,47.03,66,91,12.26,RU,1599525005
Khilok,51.37,110.47,60.19,68,0,4.41,RU,1599525006
Saint Paul Harbor,57.79,-152.41,60.8,55,1,12.75,US,1599525007
Liliani,32.21,72.95,83.23,53,0,3.36,PK,1599525008
Richards Bay,-28.78,32.04,63.95,85,0,3.18,ZA,1599525008
Adrar,20.5,-10.07,93.22,25,22,9.1,MR,1599525009
Port Alfred,-33.59,26.89,61.99,84,2,11.16,ZA,1599525009
Ajdabiya,30.76,20.23,72.95,49,0,9.6,LY,1599525010
Port Elizabeth,-33.92,25.57,57.2,100,16,6.93,ZA,1599524849
Patos,-7.02,-37.28,74.41,56,28,21.72,BR,1599525011
Talnakh,69.49,88.4,46.4,100,0,6.71,RU,1599525011
Kamaishi,39.27,141.88,82.4,78,20,3.36,JP,1599525012
Asău,46.43,26.4,57.0,93,32,2.42,RO,1599525013
Issia,6.49,-6.59,71.89,99,92,4.32,CI,1599525014
Wawa,9.9,4.42,73.09,95,82,4.09,NG,1599525014
Santa Maria da Vitória,-13.39,-44.19,76.08,39,0,7.11,BR,1599525015
Port Blair,11.67,92.75,83.07,77,100,5.7,IN,1599525016
Pestovo,58.59,35.8,50.63,97,100,3.76,RU,1599525016
Porto Belo,-27.16,-48.55,66.0,88,75,3.36,BR,1599525017
Hasaki,35.73,140.83,90.0,74,75,11.41,JP,1599525018
Morón,-34.65,-58.62,55.99,84,0,5.99,AR,1599525018
San Gabriel,34.1,-118.11,88.0,54,90,8.05,US,1599524874
Puerto del Rosario,28.5,-13.86,75.2,78,41,2.24,ES,1599525019
Puerto Escondido,15.85,-97.07,82.4,65,40,8.08,MX,1599525019
Yangi Marg`ilon,40.43,71.72,57.2,50,0,6.93,UZ,1599525020
Nanortalik,60.14,-45.24,41.49,81,0,19.57,GL,1599525020
Zavetnoye,47.12,43.89,62.98,70,1,10.94,RU,1599525021
Half Moon Bay,37.46,-122.43,100.4,68,1,17.22,US,1599525021
Husavik,66.04,-17.34,42.8,75,90,11.41,IS,1599525022
Aden,12.78,45.04,85.33,80,48,12.91,YE,1599524839
Guerrero Negro,27.98,-114.06,80.33,64,0,17.18,MX,1599525022
East London,-33.02,27.91,63.77,82,0,7.29,ZA,1599525023
Egvekinot,66.32,-179.17,41.43,65,97,2.84,RU,1599525024
Pevek,69.7,170.31,41.77,79,4,5.41,RU,1599525024
Srednekolymsk,67.45,153.68,49.57,49,20,11.7,RU,1599525024
Clyde River,70.47,-68.59,35.6,93,90,2.24,CA,1599524759
Mbanza-Ngungu,-5.25,14.87,69.58,82,0,6.6,CD,1599525025
Natal,-5.79,-35.21,77.0,78,0,11.41,BR,1599525025
Haverfordwest,51.8,-4.97,61.0,100,90,14.99,GB,1599524931
Dikson,73.51,80.55,42.98,78,87,23.67,RU,1599525026
Russell,32.35,-85.2,82.4,73,1,4.16,US,1599525027
